id,Text1,Text2,Class
341105,A woman throwing a Frisbee on a beach.,A couple is playing catch with a Frisbee at the beach.,Neutral
83867,Two women are standing in a store with a baby in a blue stroller.,They are shopping for baby clothes.,Neutral
29786,A tattooed man dunks a basketball.,A man dunks a basketball.,Duplicate
99625,Man paints red wall orange with a roller while suspended from a swing.,a guy is doing some painting,Duplicate
82098,A man wearing a black backpack is walking beside a graffiti filled wall.,A man flipping off of a wall.,Conflict
114965,A man driving a small cart at an airport.,The man is repairing the cart.,Conflict
232035,A father pushes his daughters go-kart while another girl watches.,Boys are riding a go-kart..,Conflict
112494,Older woman in red sweeter is opening a gift.,A older woman is wearing pants.,Neutral
456854,Nueske employees are barbecuing meat for people to sample.,People are barbecuing meat.,Duplicate
39078,Dog with big collar running.,A dog is wearing a collar while playing.,Duplicate
196909,A man wearing a white tank top is perched and looking down from a rock.,A man holdin a rock.,Conflict
320774,Young woman in gray shirt and cream sweater eats a hotdog.,A female in a dress is running with a sandwitch in her hand.,Conflict
193004,A woman in a one piece bathing suit splashing in the water.,A naked woman running from the water.,Conflict
112942,"Two young men playing instruments one with a black hat and black and gold jacket playing a trumpet , the other wearing a lei and a neutral colored shirt playing a saxophone.",Several men are playing banjos.,Conflict
259336,"A man , wearing a striped shirt , is throwing a blue ball at a carnival game.",Someone playing a game at the carnival is throwing a ball at something.,Neutral
396014,"A older man wearing a pink shirt and sunglasses sits , a woman behind him.",Two people are sitting,Duplicate
101677,A baby dressed in orange plays with a necklace.,A little baby plays with its mother 's necklace as she leans over.,Neutral
351784,A surfer in a black wetsuit rides a wave.,A surfer in a black wet suit catches a wave in a competition.,Neutral
415696,A boy lies across gates stacked against each other in a park.,A boy is lying on stacked gates.,Duplicate
3085,People with safety vests stand in a field with shovels.,The safety vests are a bright yellow color.,Neutral
222798,Young man and woman laying on a large concrete block platform among many other concrete blocks.,A couple of young people lying on a large concrete block.,Duplicate
448142,These are women at a baby shower.,People are at a baby shower.,Duplicate
484877,Two men stand together and hold clothing.,Two men are holding clothing and about to drop them in the donation box.,Neutral
399198,A band is performing an outdoor concert with guitars and drum set.,Everyone was indoors.,Conflict
377763,Two kids having fun burning dad in the sand.,The kids are playing in the sand.,Duplicate
431051,A girl has the biggest smile on her face as she swings on a tire.,"The girl 's father made her a tire swing , and she is very happy.",Neutral
114333,A man in a black jacket reaching into a blue bucket.,A man in a black jacket runs from the police.,Conflict
101640,People are walking on a crowded street.,People are Moving up the escalator to the gate at the airport,Conflict
150392,The boy in the gray t-shirt is standing next to the girl in the green dress and cowboy hat on the beach.,Two people wearing bathing suits get ready to swim in the ocean.,Conflict
381267,Six African children sitting at two tables.,The six African children are watching television.,Conflict
106264,A young male child is floating on a makeshift boat upon a bright blue lake with rocks and light green grasses in the background.,A child is riding in a boat on a lake.,Duplicate
137808,"A young man sits on a cliff , watching the ocean.",The man dribbles the basketball down the court.,Conflict
416849,"A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off , while rodeo helpers and the audience look on.",A man is riding a bronco.,Neutral
402036,A man under colorful stage lights playing a guitar.,A man plays an electric guitar.,Neutral
384945,The dog is lying on a bed with torn paper nearby and a person watching nearby.,A person is watching a dog on his bed with torn paper nearby,Duplicate
302474,Two men who are jogging with numbered signs on their shirts attempt to jump over a log in their path.,Two men run slowly with numbered signs on their shirts.,Duplicate
5935,The software engineer implements caching mechanisms to optimize data retrieval and improve application performance.,The performance analyst recommends caching strategies for enhanced system performance.,Duplicate
387140,3 girls have fun while playing a card game.,The girls are playing a game.,Duplicate
499445,Person with striped shirt is playing in the sprinklers.,Person with shirt is playing in the sprinklers.,Duplicate
104601,A cleaning woman in a bright uniform is pushing a cart.,A cleaning woman is with her cart.,Duplicate
205744,A brown dog and a gray dog are playing in the snow.,Some dogs are outside.,Duplicate
330278,An ebullient man jumps into the air against a remote desert canyon backdrop.,The man is airborne.,Duplicate
69808,A man is raising his hands towards a giant stick.,A man is reaching for a stick.,Neutral
262598,Two woman point at a mirror that is curved like a ball.,Two women point at a cube-shaped mirror.,Conflict
307900,A man wearing shorts and no shirt is squatting.,A man is picking something up.,Neutral
113555,People in a tent listening to one playing a guitar.,Some campers hiking through the woods.,Conflict
97084,The child has his head in the frame of the painting.,A woman admires a photograph.,Conflict
263983,A large group of people eating and talking in big hall.,the man ate alone at the diner,Conflict
489608,A woman in a vacant lot pointing at something.,A woman is pointing at a statue.,Neutral
166721,A woman with a red bag is hiding her face with an umbrella.,A woman is embarrassed.,Neutral
167888,Black dog jumping out of the water with a stick in his mouth.,A white dog jumping out of the water with a bone in his mouth.,Conflict
513977,Two construction workers work on a road.,Two people fixing a pot hole.,Neutral
399036,At a rodeo a young boy is trying to coral a sheep inside the arena.,A young kid calls for the animal to come back.,Duplicate
18329,A group of people piling hay into a horse-drawn cart.,People working on a farm.,Neutral
44037,Two dogs playing on a rocky beach.,Two dogs are running on the rocks.,Duplicate
184805,A homeless man holding up a sign with his request for money and his reasons for asking.,There are homeless in the area.,Duplicate
138880,A group of tourists are standing on a bridge.,The bridge is a historical landmark.,Neutral
515316,A group of people are in a boat on a large body of water.,A group of people are in a boat,Duplicate
49459,"A person with dark hair wearing a white tank top , red pants and white shoes is walking down a sidewalk with artwork displayed against a wall.","A person sits on the curb , contemplating life.",Conflict
30395,Girl in a blue sweater holding her own hands.,the girl is waving to her friends.,Conflict
31764,A small boy hitting a ball of a tee.,A boy throwing a ball.,Conflict
222599,people riding their bikes in a race.,People are swimming in a pool.,Conflict
87963,A man is walking two poodles on leashes in a city.,someone is walking outside,Duplicate
440829,A large group of teenagers are seated indoors in yellow seats.,A group of teenagers are seated indoors in yellow seats.,Duplicate
166863,A man in a red t-shirt is using an ATM.,The man withdraws some money.,Neutral
453806,"A young boy wearing a black shirt , brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs.",A young boy is daydreaming in his math class.,Conflict
245318,"A woman dressed in a blue jacket , sipping tea.",woman sips hot tea,Neutral
60164,"A man in jean shorts and a white shirt looks around at a market stand carrying belts , purses , and accessories.",A man teaching a chemistry class.,Conflict
435069,"Three News personal interviewing a couple of senior citizens , while another person looks on.",an old couple in being interviewed on christmas,Neutral
105272,A lively adult karate practice at the dojo.,"The adults are sitting outside a building , smoking and reading newspapers , waiting for the local bus.",Conflict
198497,old man pushing a cart in street.,An 80 year old man pushes something.,Neutral
275987,A man with glasses in looking up at a screen with a piece of paper in his hand.,A woman knits a sweater.,Conflict
176426,An African American child is supported by his three peers while riding his bicycle.,Learning to ride a bicycle,Neutral
358411,A little girl and her stuffed monkey seated on a ride above the fairgrounds.,A girl is sleeping.,Conflict
290365,"Several workers in orange vests are repairing tram rails , as onlookers stand by.","Several workers in yellow shirts are taking apart a roadway , as onlookers stand by.",Conflict
28900,A man in a dress shirt and tie is smiling and holding in his hands a pair of sunglasses and some sort of paper.,The couple stopped off for fast food on the way to parents home.,Conflict
500859,Three women work together at a table scattered with bottles and bowls.,A group working with each other.,Duplicate
321921,A woman in a red and white bathing suit is taking a picture for three friends that are traveling in front of the shops near a beach.,There are people in a forest.,Conflict
174422,Many people are gathered in a crowded building.,People are standing around waiting to see a celebrity.,Neutral
39641,A group of people walking in front of a brick building.,It is daytime.,Neutral
439408,A researcher is looking at a sample.,The custodian is cleaning the hall.,Conflict
11839,A man sitting at his desk in front of a computer.,A man sits at his friend 's desk in front of a computer..,Conflict
153247,A child runs on a dirt path along the street.,The child is running from a dog.,Neutral
91821,This young Asian man rests for a short while outside of an office building.,man on coffee break,Neutral
368399,The five children all sit together on the swing.,Some kids are standing next to each other.,Conflict
211860,A black dog and a tan dog sniff around an empty lot.,Two dogs are outside.,Duplicate
504354,A man in jeans and a blue long-sleeved shirt is on his phone while leaning on the edge of a building.,A man lays down on a hospital bed while doctors perform surgery.,Conflict
233680,A man on a bridge pointing to something below.,A man is sitting in a cubicle.,Conflict
520633,A girl is climbing a rock while someone is filming her.,the girl is jumping off a bed,Conflict
505485,A hiker passes a white rock formation in the middle of an empty desert.,A man swims in the ocean.,Conflict
207457,Person with a red backpackers going for a hike.,A person is hiking,Duplicate
63605,The fan is spinning.,The fan is moving.,Duplicate
83286,A young woman is people watching while sitting on a wall outside.,Woman sitting near a wall,Duplicate
261257,"A bicyclist in a marathon is having trouble when his bike falls to the front and he is about to fall over , while two men watch in amusement.",The two men are worried.,Conflict
234119,A surfer under a bridge.,A surfer is in the water.,Duplicate
503849,An African-American band is playing outdoors on a stage surrounded by trees.,An African-American band is playing outdoors on a stage surrounded by trees to a crowd of people.,Neutral
123115,many dogs race around the track.,The dogs are super fast.,Duplicate
177118,"A man , dressed in black , sits in a chair with a brass tuba beside him.",A man sits in a chair.,Duplicate
380990,A shadow of a man standing over a staircase.,A man stands in an elevator,Conflict
201902,Their are three women at a desk and the women with the long braid looks in the microscope.,Three women are at a desk.,Duplicate
427214,Seller of blow up balloon characters.,A person selling products.,Duplicate
274275,"A young boy is wading in the waters of some body of water , there are plants on the bottom of the picture.",The young boy is in a lake.,Neutral
420300,A man is leaning on a railing that looks down onto a sports field in a stadium.,A man is at a sporting event.,Duplicate
105319,A boy and a person off-camera playing a card game.,People are reading a newspaper.,Conflict
347852,White horse with jockey jumps a barrier.,White horse with jockey jumps a metal barrier..,Neutral
219968,An athletic man waterskis on a lake.,A fit man is having fun.,Neutral
327380,"A person in blue climbs up a very tall cliff , attached by red and blue ropes.",The rope is red and blue.,Duplicate
322384,A dog runs with a multicolored ball.,The dog is sleeping on the porch.,Conflict
131773,A little boy in a red shirt is sweeping the floor on a porch.,A porch is being swept.,Duplicate
43111,"Two guys and a girl in shop , on laptops.",Two guys and a girl are shopping,Neutral
454424,A couple of woman carrying bricks on there head.,The bricks are on the ground,Conflict
95030,Two women playing musical instruments ; one plays violin and the other play a wind instrument.,Two women are playing musical instruments.,Duplicate
399116,A woman wearing goggles and a blue swim cap doing the backstroke in a swimming pool.,A woman is resting at home.,Conflict
390506,A man is standing in the water with his arms raised in the air while water splashes up around him.,A man is standing in the water with his arms raised in the air,Duplicate
316506,"Elderly gentleman in brown trench-coat and woman in orange-brown fur coat sitting at table , woman has her back to camera.",The man and woman are doing a tandem parachute jump out of a plane wearing skydiving tights,Conflict
142119,A man in an orange shirt is raising his golf club on a grassy course while five other men look on.,a man is holding a golf club,Duplicate
456948,Two dogs play on the shore.,Some animals playing,Duplicate
330447,Several young women walking along a beautiful hallway.,The ladies are going shopping..,Conflict
98623,"A boy being fitted in a brown robe by a man in a white shirt and red cap , another man in a light blue shirt is twirling a ball.",A man is twirling a ball.,Duplicate
424565,A group of people working together with a star-shaped looking metal frame.,People are trying to solve a science problem with a metal frame.,Neutral
125451,A boy wearing green shorts is about to serve a volleyball.,A boy is about to spike a volleyball,Conflict
238417,Some Asians gather for an event in a gymnasium.,Mexicans watch a gymnast perform.,Conflict
521310,The Scottish musicians are performing for the crowd.,the musicians are taking a break from the show.,Conflict
397025,Onlookers watch a white stock car that has smoke coming out of the back.,People are watching a bycycle race.,Conflict
62176,Two women sit on the beach in holes seem to be digging for something with rocks and sand all around them.,Two women are jumping up and down on a beach.,Conflict
319043,A child in a green and white sports uniform is running over grass.,A dog is dressed up in a cute sports costume.,Conflict
137364,A man wearing glasses is sitting at the table and checking his i-phone.,A man in glasses sits at a table.,Duplicate
401765,Shane Battier and Davonik Nastavowich communicate and try to crack a smile before the up coming game against their rivals Miami Heat in the 2011 NBA Championship Game.,Shane and Davonik play for the Miami Heat.,Conflict
40979,"a group of asian teenagers sitting in what looks like a waiting room with blue and red chairs , show off their electronic mini cameras.",A group of teens are comparing photos and footage from their individual camera,Neutral
229566,A man is kicking a ball on an empty field.,A man is kicking a ball with another person.,Conflict
100621,A couple sits in an antique automobile in a populated building.,The people are sitting at home.,Conflict
365998,A woman in a pink bikini and a man in black swim trunks are jumping in the water at the beach.,Two people are playing in the water,Duplicate
77168,A man setting up the cooker.,A man and a cooker.,Duplicate
352978,A huge group of people crowing a street with hanging stars between the buildings.,A huge group of people watching a tennis match.,Conflict
495867,A couple enjoying the night lights together.,A couple is enjoying an evening outside,Duplicate
361650,A man looking through a pair of binoculars.,The man was blind.,Conflict
89558,Three young women and three young men are caught on camera in midair as they are jumping and throwing flip-flop sandals in front of a destroyed sand castle on the beach.,The three couples were sitting at the movies holding hands,Conflict
524687,An acrobat doing a handstand on top of a pole with legs spread in a v.,The acrobat was performing at the circus.,Neutral
176465,"Six people by body of water , all in jackets , three sitting on the dandelion-strewn ground.",The people are in the desert.,Conflict
491215,The white crane is searching for food in a pond.,The white crane is looking for small fish.,Neutral
172088,a biker jumps over a pile of dirt.,The man is swimming in the ocean.,Conflict
192546,A black male athlete making a jump during a competition.,He is rowing a boat.,Conflict
490245,"A long-haired brunette in a black long-sleeved top , pants and a long blue scarf stands reading a magazine in a waiting room.",A man sleeps in a waiting room.,Conflict
53005,Two people working on an assembly line.,A couple assembly workers inspecting a car,Neutral
261188,A man in a red shirt walking past wall art.,A man is running on a treadmill at the gym.,Conflict
283903,Eight young people are sitting in a rough circle in the grass at the bottom of a slight incline with three trees in the background.,Eight young people are sitting outdoors.,Duplicate
156303,A hiker walks down a rock path next to a field of wild grass.,The wilderness explorer was searching for food in a field of grass.,Neutral
394844,A man in black shorts is sliding on a tarp.,A man is wearing black shorts.,Duplicate
442118,A small boy swimming underwater.,The small boy scuba dived in the ocean..,Neutral
116085,A man in a green shirt with a cigarette in his mouth is playing lawn bowling while three people watch.,A man is bowling in a bowling competition.,Neutral
524211,man in black shirt putting food into his mouth with his fingers.,man in black shirt eating with his fingers.,Duplicate
520695,Two children are playing with sand on a beach near the ocean.,Two children are swimming in the ocean.,Conflict
331820,"A group of black boys in a classroom setting wearing white shirts , listening to a speech about UNICEF.",The boys are fast asleep in their beds,Conflict
163343,Women and child on hillside feeding a lama.,Mother and child feeding a white lama.,Neutral
420440,"A biker in motorcycle trials runs through the mud of the circuit , eyes focused on the road ahead.",The biker is not yet experienced.,Neutral
492253,The man in the blue shirt is looking in the direction to which the little boy is pointing.,The man is ignoring the boy.,Conflict
440192,A younger man and an older man are shaking hands on a tennis court.,Two men are shaking hands after playing a game of tennis.,Neutral
231052,A military man playing drums from.,"America 's Corp Fort Lewis , Washington while in a parade the man is sleeping.",Conflict
142077,Many bicyclists and other people on a street.,A bunch of people on the street..,Duplicate
332968,A person is standing in front of a wood-clad house.,A house is clad in wood.,Duplicate
356990,A man with no shirt plays basketball.,A man with no shirt plays basketball and looses.,Neutral
428269,Two young girls are playing large string instruments and intently looking at their music sheets which are being held on music stands.,Two girls are swimming in a pool.,Conflict
87869,The water is very clear.,you can see the bottom of the lake because the water is clear,Duplicate
188572,A boy in an orange shirt plays on a large drainpipe with several other children in a sandy area.,A boy is sliding down a drainpipe.,Neutral
165676,A woman is smiling as she shows a young boy an accordion and allows him to touch the instrument.,The child is looking at the woman 's accordion.,Neutral
280067,"One male wearing a blue jacket is singing , while another male wearing a white shirt is playing a tambourine and singing , and a third male also wearing a white shirt is playing a keyboard.",The men is old,Neutral
29601,A speed boat pulling a waterskier along a jump.,The skier is on a snowy slope..,Conflict
403525,A man is jumping from a rock into the ocean while others are watching.,The man is nervous.,Neutral
241945,A wine shop with an open sign in the window and two people out front.,The shop is closed.,Conflict
307257,The red and white sign says `` arrivo ''.,There is a sign saying `` arrivo.'',Duplicate
533061,A person in a wetsuit is carrying a surfboard into the ocean.,"the person is wearing a wetsuit.,",Duplicate
159451,Two men in hard hats listen to a man in a dress shirt talk.,The supervisor is explaining the project to the workers.,Neutral
352498,A group of cheerleaders take center court in the gym and perform.,The cheerleading squad is co-ed.,Neutral
39964,An old woman getting ready to move her belongings after along day auction held at the church compound a woman is near a church compount.,An old woman getting ready to move her belongings after along day auction held at the church compound a woman cathers her beloging and gives them to someone else,Duplicate
285664,Three people looking at produce on a cart.,The woman took the produce off of the cart.,Conflict
61567,An elderly lady searches through some strawberries at a local vegetable stand.,A lady at home eating strawberries,Conflict
144902,Three people in bodysuits are on the ground and appear to be screaming.,Three people in bodysuits are silent,Conflict
336877,A group of snowboarders fly over the crest of a hill.,girl watches movie,Conflict
201840,A man is pouring a garbage can full of shoes into the back of a truck.,There are at least tow pairs of shoes.,Duplicate
69317,A woman wearing glasses is sitting at a table soldering an object.,a woman is sitting at a table,Duplicate
419394,A group of college students gathers to play texas hold em poker.,The students are gambling.,Neutral
333401,Two businessmen are talking with a woman in the background.,They all work together,Neutral
419448,a boy hangs out of a passing taxi cab window The boy is hanging out of a car..,A kid sitting in a window of a yellow taxi The taxi driver waited for the kid looking out his window to give him directions on where to drive.,Duplicate
158760,A man trimming a palm tree inside a patio-type cafe '.,A man trimming a palm tree.,Duplicate
116174,A new bride dressed in white throws a bouquet to waiting females behind her.,A bride is dead.,Conflict
501824,A woman wearing sunglasses is holding an infant with a colorful hat in her arms.,A woman stole a baby.,Conflict
446986,"A woman wearing a green coat , and a woman in a tan coat waiting for the subway.",Two women wait for a train after work.,Neutral
120677,Guy smiling with two girls each kissing one of his cheeks.,A man and his two wives pose for a pic.,Neutral
480573,A young girl bouncing on a trampoline.,A person is on a trampoline.,Duplicate
345558,Four kids are playing with blocks in a children 's playroom in front of a coat rack.,Dogs are playing in a yard.,Conflict
148787,A little boy is running during a soccer game.,A little guy is running around playing in a soccer game.,Duplicate
272448,Musical performers pose and emote on stage.,A stage sits empty because he venue was closed down.,Conflict
187506,A young girl in an orange bathing suit plays on the beach 's shore.,The girl takes a surfing lesson.,Conflict
124404,A group of Indian men and women standing in the calm water while a man dripping wet takes a deep breath.,The people are in the Ganges River.,Neutral
368359,A girl wearing white is stretching her foot above her head.,the girl is getting ready for class,Neutral
112174,A boy is playing on a green swing in front of a wooden barn.,there is a boy who is riding his blue bike on a dirt road,Conflict
124436,A long-haired young man skateboarding on the rails on a cloudy day.,A young man is playing baseball.,Conflict
38539,A young black man wearing a red shirt and jeans is holding a bunch of weeds.,A guy his taking weeds to the trash.,Neutral
238217,A multicolored dog runs around obstacles on a course.,A dog is running around.,Duplicate
408304,Several men standing in front of graffiti.,Men are standing in front of gang graffiti..,Neutral
90033,A black Labrador retriever in a grassy field returns with a white nubby cylinder in its mouth.,Labrador Retrievers are lazy dogs that sleep on the couch all day.,Conflict
290781,A boy jumping off of a cement block.,An Asian boy jumps off a cement block.,Neutral
245123,A group of workers are waiting to be picked up.,There are more than two people waiting.,Duplicate
368048,"A man in flip-flops , shorts and a pullover plays mini golf , a large plastic penguin , looks away.","There is a woman in sandals , pants , and a t-shirt.",Conflict
364532,"When am I going to sit in the front , because I hate this belt.",There is a belt that I hate while I also wonder about sitting in the front.,Duplicate
207308,A heavier man wearing a blue shirt and black pants walks down the sidewalk of a shopping center.,A man is walking next to a shopping center.,Duplicate
316650,A woman hanging out of a car window in order to try and get a better look at something up ahead.,a driver checks upcoming traffic,Neutral
374762,"Orange , brown and white and brown dogs on grass.",Cats of different colors are sitting on the sidewalk.,Conflict
376458,Several tables are set up with produce on them.,Tables have produce on them.,Duplicate
63459,A man in a blue hat and sandals rides fully seated on a skateboard.,A man is wearing a bluehat,Duplicate
516315,Three young men are celebrating together in public.,Three men celebrate together outdoors.,Duplicate
450784,The man is standing behind his opened back hatch of his vehicle.,An atv is cruising through a dirt trail,Conflict
416900,A man in all black is walking past a pink hotel.,A man hurries past a love hotel.,Neutral
304026,A woman in a blazer speaking into a mic in front of a crowd with a presentation.,The man is stripping on the beach.,Conflict
119078,Two guys sorting through some items.,Two employees take inventory at a department store.,Neutral
409759,a young boy in a striped shirt carrying a bag.,A young boy trying to catch a ferry.,Neutral
76667,Two little kids are on a production set with seven adults.,The sun is setting.,Conflict
68869,Three women sitting on a bench waiting for the bus.,There is a bench at the bus stop.,Duplicate
90525,"Two men , in shadow , one holding a guitar , performing on stage.",The men are country singers.,Neutral
226359,A woman in a blue shirt and jeans and her dog are standing near a pen and a large shed.,The woman owns a dog.,Neutral
228220,A woman with a camera on a tripod is looking at the view.,A woman has a camera.,Duplicate
301845,Two men wearing orange vests and standing next to orange cones.,Two men are setting down.,Conflict
235893,A large pack of men jog in a race.,The men are skateboarding,Conflict
391569,Two skiers are making their way through woodland.,Two skiers travel through the woods.,Duplicate
4336,Little girl in pink coat on a swing.,A little girl at the park.,Neutral
115905,A child looks bewildered as he lies next to his red sled.,There is a child laying next to a slide.,Duplicate
476433,A worker grabs a ladder to move it around.,The worker is sleeping on the floor.,Conflict
174620,A man in a white Premium 33 London t-shirt is walking down the street with his bike.,a man is walking to the store,Neutral
308046,A man in a brown shirt and jeans leans against a pole in front of Chanel while a man in a cinema security shirt faces the other way near him.,Some men outside a store,Duplicate
168234,A blond child eating a cupcake with blue frosting.,the blonde child hates the cupcake,Neutral
381213,"A woman laying down in front of the doors to a grungy , yellow , red and green colored building.",A woman runs through a burning building.,Conflict
471888,A black woman in a pink bikini is sitting on a towel on a lounge chair.,A black woman in a bathing suit is sitting.,Duplicate
336769,Punk rock teenager walks with a mean look on his face.,The happy teenager had a smile on his face.,Conflict
318911,A child playing with a water bottle.,A kid playing with a drink.,Duplicate
44763,A man wearing jeans and a t-shirt plays guitar for a smiling woman and child as they sit on a staircase near red and orange balloons.,two guitarists have a solo face off,Conflict
280948,Several construction workers in orange vests and white hard hats work near a train.,Construction workers are working outdoors,Duplicate
170473,The brown and black dog is jumping up to catch a red ball.,The dog is playing with a ball.,Duplicate
47625,A mother holding her sleeping baby is looking outside through the glass patio doors.,A mother is putting her baby to bed.,Conflict
476852,An Asian man prepares meat on a grill.,A man cooks.,Duplicate
349656,A man holds a couple of Frisbees.,A person is holding two objects.,Duplicate
162189,A Mom and a kid on the beach with sailboats in the background.,There is a family visiting the beach.,Duplicate
505841,An attractive woman walks down a back street.,The woman is walking home.,Neutral
504906,"6 guys , 3 from the white team and 3 from the blue and playing football.",guys playing a 3v3 tournament,Duplicate
359198,A manager talks to an employee about job performance.,People are talking to each other.,Duplicate
290157,a girl wearing a red shirt holding the hand of a man near a street.,A girl and a man hold hands.,Duplicate
397651,"Guy in a white clothing , running down a busy street and carrying a gold torch.",People are nearby.,Neutral
248407,A man riding a horse in those jumping competitions jumping a very large wall with a cameraman in the fore ground.,A man riding a horse around a very large wall.,Conflict
144626,A woman and man are at a self-checkout station.,The couple are playing chess.,Conflict
145600,A man is getting his head shaved with people in the background.,the shave is close,Neutral
70515,A man smoking a cigar poses with another man in front of cigars in a display case.,Two men smoking cigars in the park.,Conflict
435391,A young girl touches the green wire of an electrical circuit.,A young girl touches the ground wire.,Duplicate
411659,A large crowd raises their hands in unison.,The crowd raise their hands in unison before being launched into the sky.,Neutral
24383,An old man and two old women standing on a German street.,the man and women are standing,Duplicate
352742,A man with a canoe is on the beach with a tent set up.,A man is camping.,Duplicate
432285,A boy plays in his bedroom with an air powered rocket.,The rocket is dangerous.,Neutral
139596,An older lady blowing out a 9 and a 0 number candles on a birthday cake.,A woman is celebrating her 90th birthday with an ice cream cake.,Neutral
337823,No male construction workers in a work area in a city.,Men working construction in a work zone.,Conflict
449972,a small asian child is sitting on a blue bench enjoying her drink.,A small child enjoys a cherry coke.,Neutral
281474,Many people are looking around a housing facility.,The people are looking to rent an apartment.,Neutral
475251,A ladies basketball game in progress the team in white has the ball with the opposing team wearing blue.,A man 's basketball game is being played.,Conflict
78269,Two men in American military uniforms play a board game with two girls.,Two men in American military uniforms play a board game with two girls,Duplicate
327307,A male and female are performing a dance in which the man is holding the woman in the air.,A male lifts a female at the end of a dance.,Neutral
308834,Woman in a white shirt and blue goggles.,A woman in a white shirt and blue goggles is in a chemistry lab.,Neutral
260746,Two women looks over an item at a Chinese convenience store.,Two women look at a store,Duplicate
201548,A boy is balancing a plate of pastries on his head while another boy sits next to him on a rail.,A boy is balancing of plate on his head while another boy sits on a rail mocking him.,Neutral
253697,German.,Shepherd jumping through black hoop while people watch Bob is jumping through black hoop while people watch.,Conflict
281267,A group of people standing on the lawn in front of a building.,The people are swimming in a pool.,Conflict
19463,A black-haired man talks to a woman.,A man is having a conversation with a woman,Duplicate
