id,Text1,Text2,Class
69,"Three young people stand on a stage outside with guitars over their shoulders in front of a crowd , with one person in the crowd also holding a guitar , but many of the people in the crowd do n't seem to be too interested in what is happening on stage.",the people are sitting in an office,Conflict
70,A man wearing an apron is putting circular objects on a spool.,The man is making some projects.,Neutral
71,A little Asian girl is poking at her face and poking her lip out as if to make a funny face.,The Spanish girl with no arms is has a deadpan look on her face.,Conflict
72,Two boys posing in blue shirts and khaki shorts.,The two boys are sprinting down the street.,Conflict
73,"A man in blue swimming trunks is jumping while another man in white and blue swimming trunks is leaning backward with his right arm raised above his head on a sunny , sandy area.",A man jumps while another man stands.,Duplicate
74,A girl in a yellow dress stands in front of orange pots as a crowd of people stands in the background.,The people are mesmerized by the orange pot.,Neutral
75,The man on the side of the road in his black jacket waves as we pass.,A man is outside.,Duplicate
76,A person sits in a park while playing a small instrument.,The man plays his instrument in the park.,Neutral
77,A man in sunglasses puts his arm around a woman.,two people are sitting in the dark,Conflict
78,A hiker poses in a green field with sheep.,The sheep were about to be sheared.,Neutral
79,The Sun Chasers band having a street performance.,There is a band playing music on the street.,Duplicate
80,Several women are on a couch together playing with a baby and a puppy.,Women playing with a baby and puppy.,Duplicate
81,Two people sitting in front of a water fountain.,A man and woman are watching a street show.,Neutral
82,People skating at a rollerskating rink.,People are seen at an outdoor rink with their dogs skating.,Conflict
83,A classic bottle-green Jaguar races around the track.,A green Jaguar is driving around a race track.,Duplicate
84,The child leaps across to land on the frog statue.,The child is jumping.,Duplicate
85,Several people are seated in chairs at a restaurant with cups of coffee in saucers and food set in front of them.,Several people wait in line at the lunch buffet.,Conflict
86,"A little boy in a green and white uniform is running towards a red , black , and gold soccer ball.",The boy is wearing shin guards.,Neutral
87,"A man in red with a satchel slung on his back , walks on the tree-lined sidewalk and is heading to the water.",The man is heading to the pool.,Neutral
88,A man in an orange shirt enjoying drinks outdoors.,The man is getting ready to go sailing.,Neutral
89,A man dressed in black rides a green bike.,A man is a pro bike rider,Neutral
90,A marching band with members holding up their hats.,People in uniform hold up their hats.,Duplicate
91,A beautiful cream colored building.,People are looking at the building.,Neutral
92,"A varied crowd mills about -LRB- or rough-houses -RRB- on a public street , with lots of bicycles on display.",Men challenge each other to car races over email.,Conflict
93,There are some kids sitting on the beach with one holding a soccer ball with several people standing in the background.,The kids are outside.,Duplicate
94,A woman has fake blood on her face and body.,A woman has fake blood on her.,Duplicate
95,Girl blowing a bubble from her mouth.,Girl blowing a bubble from her nose,Conflict
96,construction workers appearing through a chain link fence.,The construction workers appear through a wooden fence.,Conflict
97,A man in a green necktie talks to two women at a dinner table.,A man tries to convince two women to go home with him.,Neutral
98,A tall black-haired woman wearing a tank top sings and strums on her guitar on a colorfully lighted stage.,a woman is on the stage,Duplicate
99,A woman in an orange sweatshirt is holding a glass in her hand.,The woman is outside,Neutral
100,"Two guys , on in a maroon sweater , the other in a light blue , are shirt sitting around playing video games.",Two guys are outside running a marathon.,Conflict
101,A man with a black mustache cuts meat with a large knife.,A man with a black mustache is peeling onions.,Conflict
102,People are playing amid public fountain jets.,People are playing in a private pool.,Conflict
103,"The corner cafe is busy today , with a construction crew stopping by on their lunch break.","The cafe is busy , with crew stopping by on their break.",Neutral
104,"three men standing at a desk , the two in long-sleeve shirts are filling out papers while the man in the red shirt looks on.",three men stand around a desk,Duplicate
105,Two men bent down in front of a brick wall.,Two men walk down the street with their wives.,Conflict
106,A climber is standing on rocks overlooking a snowy mountain range.,A vlimber looking at some mountains.,Duplicate
107,"A band with three members , guitarist , bassist and drummer , is playing a concert outside.",The band is made up of 2 members.,Conflict
108,A large group of people wearing life jackets canoe down a river in a wooded ravine.,The people are in the desert.,Conflict
109,A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium.,There is an event taking place in the stadium.,Neutral
110,A shopper carries a large amount of purchases out of the store.,Customer leaves the store with items,Duplicate
111,A dump truck is unloading rocks while 3 people watch between two buildings.,A truck is unloading rocks while 3 people watch between two buildings.,Duplicate
112,Two older ladies are sitting at a bench as a gentleman walks past them from behind.,There are people sitting.,Duplicate
113,A group of people talking and another group looking at photographs taped to the wall.,No one is talking.,Conflict
114,A man preparing to cook fish for his visitors during a local town event organized by nike company.,Fish will be steamed for an outdoor event.,Neutral
115,A woman is holding a pink and brown umbrella for a lady running in a race wearing number 13406.,The woman is running in the rain.,Duplicate
116,People are standing near boats in a sandy area.,The people are at the beach.,Neutral
117,"Two people sitting on the grass , presumably lovers , with a heart shape behind them.",Two lovers sit on the grass after a proposal.,Neutral
118,A person in a blue shirt and jeans leans on a wooden fence while looking out through the trees at a landscape.,There is a light layer of snow sprinkling the landscape.,Neutral
119,A car is driving down a road with people watching.,People are looking at an empty non moving car.,Conflict
120,The victorian building is surrounded by trees.,The building is by a lake.,Neutral
121,People on a cliff looking at water.,People are looking at water.,Duplicate
122,Two people are acting on a stage tackling each other as onlookers cheer and applaud.,Someone is being defeated in a fight scene being performed.,Neutral
123,A young child dressed in a white robe.,A young child is wearing a white robe.,Duplicate
124,A woman is participating in a workout class involving kickboxing-style movements.,A woman is working out at the gym with friends.,Neutral
125,Kids scale a wall as two other people watch.,A kid is playing kickball with his parents.,Conflict
126,A boy and a girl dancing with each other.,The children are fighting over the torn book in the middle of the floor.,Conflict
127,A man jumping with a pole at the beach.,A person jumping to grab his fishing pole which has a bite.,Neutral
128,This is a man riding an orange mountain bike through a pine forest trail.,The man is training for a marathon.,Neutral
129,A woman holding up a mirror to a child with a painted face at a busy event.,A woman holds up a mirror to a man with a henna tattoo.,Conflict
130,A man walks along the sidewalk while holding his briefcase.,A man is walking with a friend.,Neutral
131,A young female wearing a softball uniform and glove jumps into the air while holding a ball.,A girl is sitting on an empty beach.,Conflict
132,"A woman in a light blue shirt , resting against a rock.",The woman is on her lunch break taking a nap.,Neutral
133,A man in jeans and a blue shirt creates graffiti with spray paints on a wall outside.,The man is juggling apples.,Conflict
134,A woman with long hair is being photographed while a man plays pool in the background.,A woman is modeling.,Neutral
135,The dog walks on the high plank.,Two dogs are walking.,Duplicate
136,A backpacker in the mountains using his hiking stick to point at a glacier.,There is a man taking a walk around the city.,Conflict
137,A child hangs upside down on a ladder while another child swings on a rope.,A child fell off a ladder.,Conflict
138,Two men in blue suits carrying black briefcases walk into the entrance of Saint Peter 's Church.,the men are visiting the mall for shopping,Conflict
139,"A figure , whose face is obscured by water , in black pants and a black t-shirt leaps into the air with arms and legs spread wide , while tall jets of water shoot from the pavement below.",The person is up off the ground.,Duplicate
140,A woman weaves yarn as a child watches on in the background.,a child is watching someone make a blanket.,Neutral
141,A woman is retrieving food from a restaurant 's kitchen.,A woman is getting food from the kitchen.,Duplicate
142,"Young boy wearing red shorts , tossing a bowling ball.",A young boy is rolling a black bowling ball.,Neutral
143,A group od asians backdropped by a market painting of a lady in a green dress carrying a basket.,The group of Asians is in a art gallery.,Neutral
144,A man in a green polo plays guitar in front of a window.,He plays a classic guitar song,Neutral
145,Four cheerleaders are walking in a straight line on the football field.,The cheerleaders are asleep,Conflict
146,A woman in riding apparel is jumping a brown horse over an object that looks like an airplane.,a woman rides a giant cat through a field,Conflict
147,Chubby couple enjoy scooping garbage out of their pool.,Wealthy couple scoops garbage out of their pool,Neutral
148,Two rugby players competing in a match with one player diving with the ball for a score.,People are playing rugby.,Duplicate
149,A woman in jeans is walking past a woman dressed in red in a plaza.,Both females are walking to a destination.,Neutral
150,Three children do jumping jacks in a public place while a man sits and looks on.,A coach is exercising his players.,Neutral
151,A man wearing a white shirt crossing a bridge in front of a stucco colored building.,The man is running across the bridge.,Neutral
152,A woman talks into the hear of a man holding a glass of beer.,The woman is talking.,Duplicate
153,A man in a pullover sweater is smiling as he holds a violin.,The man is holding a musical instrument.,Duplicate
154,A woman leans in to peek inside of a stroller.,A woman tries to see what the baby in the stroller looks like.,Duplicate
155,A man and a woman is by the signpost.,A man and a woman by a car.,Conflict
156,"On a clear blue day , a man had used a climbing device to shinny up what appeared to be a coconut palm tree.","On a clear blue day , a woman has used a climbing device.",Conflict
157,Brightly yellow produce sits on display in a store.,Products are being advertised on sale,Neutral
158,A woman carrying a pot of flowers.,A woman is carrying a pot of pink flowers.,Neutral
159,A woman with dirty blond-hair and glasses is cutting something.,A woman without glasses.,Conflict
160,Students in a classroom gather around a teacher and pay attention.,The student eat lunch.,Conflict
161,Two people getting married.,Two older adults are reading books in the library.,Conflict
162,"A woman is picking corn , half hidden by the stalks.",The woman takes pride in her work.,Neutral
163,A wakeboarder is performing a trick on a rail.,The wakeboarder is doing a trick.,Duplicate
164,Several workmen in safety vests are having a conversation.,The conversation is wearing a safety vest.,Conflict
165,man with apron sitting at a table outside a store and another man walking with a luggage.,A woman attending to customers.,Conflict
166,A young boy gets ready to swing his baseball bat.,The boy is swinging,Neutral
167,A horse walking by the side of the water pulling something.,A horse is pulling something beside water,Duplicate
168,People are waiting outside the tent for food.,The people are sitting down inside the tent.,Conflict
169,There is a man with a small boy on his lap sitting in the drivers seat of a jeep.,A person sitting.,Duplicate
170,A yellow bulldozer moves dirt in a rocky field.,The bulldozer is at work.,Duplicate
171,"People enjoying themselves outDoors , maybe a fair is going on.",People are crying at a funeral.,Conflict
172,A British Royal Palace Guard paces with a machine gun.,The gaurd was pacing.,Neutral
173,"Three kids running and falling down a hill towards a parking lot , where a woman is digging in her purse by a car.",Three kids are running down a hill.,Duplicate
174,A worker straddles the beams of a building being constructed.,the worker is at a construction site,Duplicate
175,Two people are carrying rows of white and teal seats.,There are people carrying seats,Duplicate
176,A man in a black shirt swings his golf club.,The was a group on the 9th tee at the club.,Duplicate
177,A woman is about to make waffles.,a mom is making waffles for her kid,Neutral
178,A solitary bicyclist rides past an ornately decorated two-story building with many windows.,A biker rides past a fancy building.,Duplicate
179,A pair of people playing billiards at a pool table.,Two people playing chess at a table.,Conflict
180,A couple laughs together as they read a book on a train.,The couple is married,Neutral
181,"A bearded man plays drums at dusk , and a man sitting behind him plays an electric guitar.",2 men are playing drums and the guitar,Duplicate
182,A boy is swimming underwater holding a toy in his hand.,The girl is swimming.,Conflict
183,Two people sitting at a table in a restaurant.,Two people are on a date.,Neutral
184,A woman is hugging a shirtless man.,A couple is hugging each other.,Neutral
185,A group of three girls stand talking in front of a photo booth that is covered with graffiti.,The girl is alone at the mall,Conflict
186,A woman and child play with a stuffed animal.,A live stuffed animal chases a kid.,Conflict
187,A guy fishing in a lake almost gets pulled into the water by something.,A man who is fishing drinks a beer on his boat..,Conflict
188,Ten workers in hard hats and reflective jackets stand holding cable one in front of the other on a stairway.,A worker finishes his shift.,Conflict
189,Brown dog with mouth open standing amidst greenery.,The dog is panting.,Neutral
190,A hairdresser in a salon looking off through the salon.,A hairdresser looks out in the salon.,Duplicate
191,A waitperson serving snacks to three women.,Women carpooling their kids to school,Conflict
192,A dog has his paw on the red roof of a kennel.,A dog is by a kennel.,Duplicate
193,Two men wearing white coats and standing next to sheet talk to each other while a woman wearing a wicker hat and a white coat stands with sheep looks at a woman in a white coat and a man wearing a white coat and white hat both standing next to sheep.,5 people are in a bar drinking,Conflict
194,A young boy is playing in a puddle of water.,boy is hot on summer day,Neutral
195,A man in a blue shirt drives a red Khera Transport Corp.,truck with yellow lettering.the man is naked,Conflict
196,a man wearing a red clown nose stand talking to a man holding groceries on a busy city street.,In a city there is a man in a clown nose talking to a second man.,Duplicate
197,A happy Woman holding a guitar.,A lady plays the xylophone.,Conflict
198,A woman helps boys on a computer.,The boy is using a computer,Duplicate
199,A choir is practicing in a room with a wood floor.,The choir is in a church.,Neutral
200,A man struck out playing cricket.,The man is playing,Duplicate
201,A man with work gloves and tool belt climbs the scaffolding next to an old yellow and white building.,A carpenter is taking a look at somebody 's house.,Neutral
202,A football player wearing a red and black uniform runs on the field with the football in his hand.,A football players runs onto the field wearing his luck bracelet.,Neutral
203,A man holding a pick is speaking into a mic.,A man is talking,Duplicate
204,a group of people get into special order.,The people formed a line to get the tickets,Neutral
205,Three boys in hooded sweatshirts standing and looking at camera.,Three girls having a tea party.,Conflict
206,"In the middle of a shopping center , there is a man who is painted gold with a gold bicycle.",A man drives his scooter through the door.,Conflict
207,Three people playing with a large ball that looks like a globe.,There are people interacting with one another,Duplicate
208,A young teen performing a skateboard trick at a construction site caught in midair flipping his board.,A teenager is in a yard stuffing wet leaves into a black plastic bag.,Conflict
209,Five little kids are taking a ride in some type of amusement park.,Children are enjoying themselves at an amusement park.,Duplicate
210,A boy holding a fishing rod.,the boy is happy,Neutral
211,A woman in a hijab reads from a piece of paper with the help of a microphone.,A woman is reading from a paper.,Duplicate
212,A girl in a pink shirt on a carnival ride with a huge stuffed animal.,A girl holding huge stuffed animal on a ride at the carnival.,Duplicate
213,A man sits at a cluttered desk looking towards a printer.,A man is bent over his printer.,Conflict
214,Biker fixing a flat on the side of a trail.,A biker is fixing his bike.,Duplicate
215,A bald eagle stands in shallow water.,A bird is not flying.,Duplicate
216,"While the man walks along the fence , a dog is running towards the tree.",Two cats are meowing at a cow.,Conflict
217,Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail.,Eleven men in suits are walking uphill along a trail.,Conflict
218,A ferry docking beside a pier.,A boat is docking.,Duplicate
219,A young boy in a blue shirt and cap is jumping into a man 's arms.,A young boy jumps into his father 's arms.,Neutral
220,A child playing on a red scooter.,A child plays with their new Christmas present,Neutral
221,Two men wrestling on the mat while the audience looks on.,Two men wrestling in an empty room.,Conflict
222,A black dog and a brown and white dog are playing with a stick in the water.,The dogs are playing together.,Neutral
223,Boats parked at a marina at sunset.,The marina is only half full.,Neutral
224,A blond woman interacts with a wire sculpture that sits on a display with a sign posted on it that says ' Mega Joule '.,The woman is pulling on the lever attached to the sculpture.,Neutral
225,A downhill skier races near trees.,A group of boys playing water polo.,Conflict
226,A man is standing on artificial turf while a little girl in a pink jacket stands next to him.,A man and little girl stand next to each other.,Duplicate
227,A woman in a black coat stands on a curb outside a market.,A woman is inside a market.,Conflict
228,A toddler boy in a sailor suit and a little girl run in the sand.,A boy in a sailor suit is playing with a girl at the beach,Duplicate
229,A boy in a red jacket and earmuffs is sitting in the snow in a city setting.,There is no snow outside.,Conflict
230,A group of women in highly decorate attire and silver high heels are walking down a street.,the women are headed to lunch,Neutral
231,A guy is sitting n the shore in a raft boat in the middle of the woods.,A guy in Mickey Ears at Disney World.,Conflict
232,A woman in a turquoise shirt grocery shopping and riding the cart.,A woman is grocery shopping,Duplicate
233,A safety worker is checking the railway.,The railway is damaged.,Neutral
234,A line of costumed figures hold opened books on the grounds where a Renaissance Fair is being held.,Costumed men and/or women read books.,Duplicate
235,One black dog is jumping off the snow filled ground.,It is snowing outside.,Neutral
236,Three girls with long brown hair are sitting next to each other near a tree.,The girls are braiding each other hair.,Neutral
237,A bunch on people are seated in a stadium.,The children are reading books in a library.,Conflict
238,"A conference room with many couples sitting together , with a white male wearing a gray Abercrombie long-sleeved shirt sitting with an Asian female with her hair in a ponytail.",There are several couples sitting in a conference room.,Duplicate
239,A blue phone booth sits next to a display window.,A phone booth outside a store window on a busy corner downtown.,Neutral
240,A man in a military style uniform is standing with his arms behind his back in a public corridor.,The man is flying a plane,Conflict
241,A woman in a dark blue hat and a windbreaker jacket jogging with headphones in her ears.,The lady wearing has her headphones on is jog.,Duplicate
242,A few people are sitting on a bench.,Some peoples are running in ground,Conflict
243,A young man with black shorts and a red shirt serving a volleyball.,The man in the red shirt is the captain of the volleyball team.,Neutral
244,"A teenage boy is sitting on a dock in a chair , with a fishing pole in his hand.",The boy is outside.,Duplicate
245,"A man , perched on a chair on a table , makes a cell call as he receives a shoeshine.","A man , perched on a chair on a table",Duplicate
246,A woman in a mauve jacket who is selling apples is talking to a young customer in a floral jacket.,a woman sells apples,Duplicate
247,Black and white dog wearing a harness walking through water.,A dog is in water.,Duplicate
248,Greyhound dogs wearing racing stripes are running out of a gate on a track.,Dogs wearing racing stripes are running out of a gate on a track.,Duplicate
249,An woman dressed in an eccentric outfit.,The woman is a clown,Neutral
250,A couple hug in a crowded place.,A couple get into a brawl at a restaurant.,Conflict
251,Soldiers in uniform holding guns.,New recruits are getting weapons training.,Neutral
252,Four children are smiling as they pose together with a bicycle that is much too big for them.,A child was given a bike as a birthday present.,Neutral
253,A brown dog in the snow holding a pink hat.,A dog in the snow holding a hat.,Duplicate
254,A man sitting on a chair on the sidewalk playing a musical instrument.,A man is playing guitar for donations.,Neutral
255,A dog is perched up against a tree looking at the top.,There are animals outdoors,Duplicate
256,Eight men work on scaffolding on a cloudless day.,No clouds have passed by since the group of men started building something.,Duplicate
257,"Two men playing ball , one white one black , with the black one leaping towards the right side of the frame.",There are two women at a competition.,Conflict
258,Bike are being displayed in the street.,Cars are being displayed in the street.,Conflict
259,A man wearing a red hat looks down as another man watches.,A stalker is stalking a red hatted man.,Neutral
260,Two male dancers performing on stage with a female performer clapping behind them.,Two male dancers are dancing on a stage.,Duplicate
261,A smiling man wearing glasses and a leather jacket.,Man is smiling and he is handsome.,Duplicate
262,Mother holds her newborn infant.,The mother is dead.,Conflict
263,A couple having a conversation.,people talking about their day,Neutral
264,A woman is playing a piano with a landscape painted on it beside a man who is standing and playing a wooden recorder.,The woman closes her eyes as she touches the keys.,Neutral
265,A man looking at a rock formation.,The blonde haired woman was glaring at the bus driver.,Conflict
266,One basketball player wearing a white jersey trying to pass the basketball into bounds while the other team blocks him.,Basketball player tosses the ball in spite of defenders.,Neutral
267,A man and boy are playing table tennis.,A father and son are playing table tennis.,Neutral
268,A dog is herding a bucking cow.,A dog eats his food.,Conflict
269,Person sits inside a doorway.,The person is banging on the door.,Conflict
270,Two asian females are doing a dance in native costume.,There are women dancing in costumes,Duplicate
271,A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,There is a man taking photographs.,Duplicate
272,Two men wearing hats with a flame at the top.,Two hats with flames are donned by two men,Duplicate
273,Two woman in bikinis are playing beach volleyball.,The women are swimming in a pool.,Conflict
274,Five men playing a competitive game of basketball with the man in the black tank top and black shorts in possession of the ball.,There is a group of men playing volleyball.,Conflict
275,Asian male in a blue shirt plays the cello.,An Asian man is playing the guitar.,Conflict
276,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man holds his guitar while he talks to someone.,Duplicate
277,A man in a gray hooded sweatshirt is holding a hammer and a nail while being surrounded by chairs.,A man wearing an orange sweater holds a broom and dustpan.,Conflict
278,A dog swimming with a stick in its mouth.,A cat is swimming.,Conflict
279,A couple of people are standing and the person in the red coat is pointing at the body of water.,A couple of women are standing and the woman in red is pointing at a the body of water.,Neutral
280,A dog is standing in the sand.,A dog waits for his owner in the sand.,Duplicate
281,A group of friends is posing in a pub.,No one is in the pub tonight.,Conflict
282,A woman sitting in a restaurant talking on her cellphone.,a woman talks on her cell phone,Duplicate
283,"Two women and a man , dressed in red and white grass skirts , perform a dance.",Some people are performing.,Neutral
284,"A scantily clad girl , in a helmet , walks away from the camera , down a busy sidewalk.",A girl walks away due to shyness.,Neutral
285,Three asian woman wearing white.,Three woman like the color white.,Neutral
286,A large crowd gathers to watch hot-air balloons.,People watch hot-air balloons.,Duplicate
287,"Three people skydiving , one is making a funny face.",Nobody is skydiving.,Conflict
288,"A man , woman and child are sitting on benches with luggage , waiting.",A man is putting clothes from his closet into a bag.,Conflict
289,a woman with long brown hair walking through a crowd.,The woman is sitting in a chair.,Conflict
290,"A woman sits alone at a table , reading a newspaper.",A woman reads the want ads in the paper.,Neutral
291,"A man , standing with his back to the camera , films another man , facing him , with white ash trees in the background , working in a notebook.",a man is filming another man who is yelling at his notebook,Conflict
292,"A woman in a house wearing jeans and a sweater , is pour a drink into a glass.","A man in a house wearing jeans and a sweater , is pour a drink into a glass.",Conflict
293,A dog is walking near a body of water.,dog walking at the lake,Duplicate
294,man in hard hat shoveling.,A man using a tool.,Duplicate
295,"A woman in a white shirt , wearing jewelery , is sitting on a couch next to another female wearing a dark colored shirt.",Two sisters sit together on a couch.,Neutral
296,A man is reading a book while waiting for a train.,A man is reading Harry Potter.,Neutral
297,A photo of a ride at an amusement park on an overcast day.,A possible rainstorm threatens the fun at an amusement park.,Neutral
298,A guy in a black tank-top jumping off of a bridge while others watch him.,A sad guy in a black tank-top jumping off of a bridge while others watch him.,Neutral
299,Two men do construction work by a wall with the words `` A SEMBLANCE '' adorned upon it.,two men attend a board meeting in suits,Conflict
300,An Asian man is carrying a green flag whilst leading a carnival dragon in a parade.,A man is celebrating Chinese New Year in a parade.,Neutral
301,A man in a blue shirt is cutting something with a knife and fork on a kitchen cutting board.,The man is cutting chicken.,Neutral
302,A man on a three-wheeled motorcycle driving down a brick sidewalk in front of an exhibition hall.,A man is on his way to a motorcycle show,Neutral
303,"A skateboarder wearing black jeans , white t-shirt and red ball cap coming off the lip of a ramp and suspended in the air.",The skateboarder is resting on the park bench.,Conflict
304,A woman in shorts and a blue sleeveless shirt leans over a golf club.,A woman leans over a washtub.,Conflict
305,A young man is crossing an urban street at the crosswalk.,The young man is driving a car.,Conflict
306,Several people are standing under a tarp ; two ladies are facing each other and one has a backpack on with her hands in her jeans pockets while the other one has a cigarette in her hand.,People standing under a tarp facing each other while smoking.,Duplicate
307,"A person wearing a white shirt , vest , and watch is holding a microphone.",There is someone with a microphone.,Duplicate
308,The seven men are gathered.,There are a group of men meeting together.,Duplicate
309,A boy and a large dog stand on a dock watching another dog swim in the water.,The dog is outside.,Duplicate
